2021/09/04 18:52:09 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:52:09 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:52:09 [error] 25#25: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.3:9000", host: "localhost"
2021/09/04 18:56:51 [error] 24#24: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:56:51 [error] 24#24: *2 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:56:56 [error] 24#24: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 18:56:56 [error] 24#24: *2 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "localhost"
2021/09/04 19:07:34 [error] 24#24: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 19:07:34 [error] 24#24: *12 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 19:07:34 [error] 24#24: *12 open() "/home/work/favicon.ico" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/index.php"
2021/09/04 19:07:34 [error] 24#24: *12 open() "/home/work/error/404.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/index.php"
2021/09/04 19:07:34 [error] 24#24: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 19:07:34 [error] 24#24: *12 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 19:07:35 [error] 24#24: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
2021/09/04 19:07:35 [error] 24#24: *12 open() "/home/work/error/502.html" failed (2: No such file or directory), client: 172.21.0.1, server: localhost, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://172.21.0.2:9000", host: "localhost"
